Sample	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
SRR607214	18263412	0.5311	0.6557	-0.119420	-2.408483	N
SRR615261	31147213	1.0706	0.7919	 0.022729	 0.270667	N
SRR603068	27680544	0.9161	0.7220	-0.050182	-1.103524	N
SRR821282	24678621	1.0696	0.8156	 0.047458	 0.736735	N
SRR608096	37789178	0.7819	0.8065	 0.037945	 0.557444	N
SRR612839	32201637	0.5618	0.7373	-0.034295	-0.804085	N
SRR816609	19813180	1.5390	0.7786	 0.008844	 0.008968	N
SRR821518	35393938	1.8134	0.6069	-0.170353	-3.368443	N
SRR607679	34203030	1.5151	0.8226	 0.054772	 0.874598	N
SRR809283	27719014	0.8298	0.6868	-0.086913	-1.795804	N
SRR808044	28843062	1.2127	0.8133	 0.045045	 0.691267	N
SRR598671	27730346	0.8961	0.7403	-0.031152	-0.744854	N
SRR598509	28636889	0.3763	0.7930	 0.023859	 0.291968	N
SRR600784	16213537	1.5117	0.7940	 0.024923	 0.312016	N
SRR813208	30643871	1.1667	0.7609	-0.009616	-0.338947	N
SRR821573	37113779	1.5231	0.7757	 0.005854	-0.047390	N
SRR810945	23091769	0.4239	0.6788	-0.095303	-1.953928	N
SRR811819	37775556	0.9047	0.8105	 0.042134	 0.636399	N
SRR820689	22564206	1.0106	0.7356	-0.036013	-0.836465	N
SRR602106	47076001	0.4977	0.7751	 0.005247	-0.058828	N
SRR607166	35352472	1.3352	0.7973	 0.028393	 0.377419	N
SRR598044	43760366	0.4929	0.7356	-0.035978	-0.835816	N
SRR614287	26873945	1.4090	0.8075	 0.039050	 0.578271	N
SRR811029	31498071	0.7111	0.7641	-0.006237	-0.275263	N
SRR815280	59672258	1.0472	0.7968	 0.027859	 0.367357	N
SRR820839	26189129	1.8976	0.7241	-0.048046	-1.063261	N
SRR603834	37779347	1.4755	0.8081	 0.039603	 0.588693	N
SRR808836	36356460	1.1901	0.8205	 0.052567	 0.833039	N
SRR598124	32748450	0.7718	0.7562	-0.014527	-0.431522	N
SRR817306	39999830	1.1821	0.7575	-0.013209	-0.406682	N
SRR598148	32982424	0.6711	0.8061	 0.037500	 0.549064	N
SRR603750	13552260	1.5163	0.8076	 0.039092	 0.579060	N
SRR601695	36961095	0.5957	0.7447	-0.026529	-0.657714	N
SRR615790	29263718	1.4776	0.8257	 0.057977	 0.934992	N
SRR819771	38109493	1.0990	0.7630	-0.007418	-0.297521	N
SRR807949	63821983	1.4677	0.7604	-0.010112	-0.348306	N
SRR820234	39109357	1.4325	0.8328	 0.065426	 1.075392	N
SRR810899	37988824	1.6409	0.8318	 0.064320	 1.054552	N
SRR602951	31859423	1.4380	0.8272	 0.059521	 0.964104	N
SRR815494	36615759	0.4864	0.6326	-0.143546	-2.863187	N
SRR809785	45928016	1.0315	0.8172	 0.049137	 0.768392	N
SRR814003	48884496	1.0683	0.8282	 0.060571	 0.983895	N
SRR820316	47761247	0.7254	0.7777	 0.007892	-0.008968	N
SRR821525	37151393	1.4021	0.7991	 0.030225	 0.411942	N
SRR815044	50313464	0.4741	0.7317	-0.040049	-0.912547	N
SRR812080	42003559	1.3128	0.8266	 0.058932	 0.952995	N
SRR810761	40127521	0.8369	0.7685	-0.001651	-0.188832	N
SRR818850	42846131	1.8885	0.7161	-0.056329	-1.219374	N
