SRR607214	SRR615261	SRR603068	SRR821282	SRR608096	SRR612839	SRR816609	SRR821518	SRR607679	SRR809283	SRR808044	SRR598671	SRR598509	SRR600784	SRR813208	SRR821573	SRR810945	SRR811819	SRR820689	SRR602106	SRR607166	SRR598044	SRR614287	SRR811029	SRR815280	SRR820839	SRR603834	SRR808836	SRR598124	SRR817306	SRR598148	SRR603750	SRR601695	SRR615790	SRR819771	SRR807949	SRR820234	SRR810899	SRR602951	SRR815494	SRR809785	SRR814003	SRR820316	SRR821525	SRR815044	SRR812080	SRR810761	SRR818850
SRR607214	1.0000	0.6160	0.5683	0.6553	0.6490	0.5930	0.6368	0.4882	0.6598	0.9298	0.6621	0.5978	0.6903	0.7310	0.6310	0.6193	0.9342	0.6502	0.6443	0.6065	0.7246	0.5916	0.6328	0.6163	0.6606	0.5702	0.6375	0.6613	0.6043	0.6444	0.6753	0.7356	0.6268	0.6610	0.6315	0.6003	0.6641	0.6818	0.6850	0.8645	0.6434	0.6528	0.5940	0.7509	0.5920	0.6618	0.6266	0.5627
SRR615261	0.6160	1.0000	0.7267	0.8928	0.8478	0.7664	0.7772	0.5710	0.8858	0.6485	0.9353	0.7429	0.8290	0.8672	0.7348	0.7752	0.6341	0.9387	0.7291	0.7922	0.8501	0.7330	0.8845	0.7556	0.7954	0.7119	0.8499	0.9303	0.7484	0.7500	0.8009	0.8340	0.7478	0.8777	0.7314	0.7430	0.8863	0.8722	0.8457	0.5883	0.9487	0.9122	0.8088	0.8138	0.7476	0.8916	0.7531	0.6964
SRR603068	0.5683	0.7267	1.0000	0.7461	0.7490	0.6836	0.7997	0.5947	0.7603	0.5947	0.7224	0.9686	0.7144	0.6916	0.6839	0.7878	0.5915	0.7418	0.6608	0.7308	0.7025	0.6948	0.7926	0.7017	0.7494	0.6974	0.7368	0.7364	0.9376	0.6832	0.7329	0.6998	0.6849	0.7780	0.6926	0.7753	0.7516	0.7674	0.7476	0.5546	0.7476	0.7686	0.7390	0.7003	0.6806	0.7683	0.7027	0.6943
SRR821282	0.6553	0.8928	0.7461	1.0000	0.8833	0.7831	0.8248	0.6116	0.9053	0.6725	0.9012	0.7677	0.8749	0.8623	0.8071	0.8114	0.6748	0.8911	0.8029	0.8275	0.8596	0.7471	0.8793	0.7958	0.8587	0.7487	0.8756	0.8947	0.7893	0.8144	0.8579	0.8745	0.7459	0.8919	0.7858	0.7855	0.9253	0.8904	0.8863	0.6154	0.8944	0.9246	0.8076	0.8360	0.7426	0.8993	0.7852	0.7254
SRR608096	0.6490	0.8478	0.7490	0.8833	1.0000	0.8695	0.7914	0.6025	0.8655	0.6744	0.8578	0.7643	0.9120	0.8202	0.7619	0.7745	0.6752	0.8661	0.7354	0.9481	0.8237	0.8364	0.8375	0.7694	0.8136	0.7273	0.8286	0.8616	0.7885	0.7549	0.9553	0.8263	0.8152	0.8554	0.7535	0.7516	0.8812	0.8609	0.8572	0.6140	0.8667	0.8741	0.9276	0.8084	0.8238	0.8633	0.7659	0.7148
SRR612839	0.5930	0.7664	0.6836	0.7831	0.8695	1.0000	0.7129	0.5658	0.7614	0.5966	0.7646	0.6897	0.7966	0.7070	0.6834	0.7016	0.6030	0.7762	0.6723	0.8811	0.7226	0.9469	0.7578	0.7042	0.7369	0.6664	0.7489	0.7657	0.7115	0.6771	0.8546	0.7169	0.9053	0.7616	0.6800	0.6831	0.7946	0.7547	0.7539	0.5477	0.7707	0.7829	0.8531	0.6999	0.9305	0.7683	0.6966	0.6507
SRR816609	0.6368	0.7772	0.7997	0.8248	0.7914	0.7129	1.0000	0.6650	0.8518	0.6545	0.8065	0.8124	0.7550	0.7657	0.8139	0.9591	0.6496	0.7965	0.7327	0.7517	0.7792	0.6959	0.8018	0.7914	0.8345	0.7736	0.8353	0.8063	0.8225	0.7547	0.7828	0.8007	0.6991	0.8231	0.8036	0.9384	0.8303	0.8458	0.8347	0.5963	0.7998	0.8075	0.7438	0.7818	0.6841	0.8140	0.7906	0.7651
SRR821518	0.4882	0.5710	0.5947	0.6116	0.6025	0.5658	0.6650	1.0000	0.6256	0.5119	0.5921	0.5948	0.5641	0.5500	0.6022	0.6622	0.5002	0.5979	0.5721	0.5930	0.5615	0.5754	0.6105	0.5955	0.6428	0.9379	0.6292	0.6018	0.6019	0.5919	0.6101	0.5811	0.5737	0.6221	0.5965	0.6488	0.6206	0.6849	0.6216	0.4699	0.5958	0.6156	0.5865	0.5898	0.5531	0.6178	0.5943	0.9272
SRR607679	0.6598	0.8858	0.7603	0.9053	0.8655	0.7614	0.8518	0.6256	1.0000	0.6944	0.8932	0.7752	0.8458	0.8754	0.8301	0.8411	0.6830	0.8831	0.7795	0.8046	0.8725	0.7463	0.8784	0.8257	0.8743	0.7591	0.9490	0.8914	0.7943	0.8041	0.8413	0.8823	0.7560	0.8937	0.8186	0.8153	0.9045	0.8978	0.9464	0.6229	0.8917	0.8943	0.8085	0.8596	0.7423	0.8996	0.8259	0.7458
SRR809283	0.9298	0.6485	0.5947	0.6725	0.6744	0.5966	0.6545	0.5119	0.6944	1.0000	0.7028	0.6285	0.7003	0.7815	0.6519	0.6471	0.9361	0.6948	0.6872	0.6219	0.7623	0.6164	0.6685	0.6478	0.6845	0.6032	0.6565	0.7096	0.6304	0.6934	0.6961	0.7618	0.6493	0.7053	0.6582	0.6227	0.6955	0.7270	0.7199	0.8871	0.6950	0.7072	0.6441	0.8111	0.6165	0.7084	0.6679	0.6060
SRR808044	0.6621	0.9353	0.7224	0.9012	0.8578	0.7646	0.8065	0.5921	0.8932	0.7028	1.0000	0.7481	0.8578	0.8901	0.7954	0.8164	0.6801	0.9437	0.7538	0.8051	0.8624	0.7389	0.8785	0.7852	0.8300	0.7321	0.8668	0.9642	0.7651	0.7766	0.8429	0.8736	0.7550	0.8981	0.7834	0.7808	0.9136	0.8982	0.8816	0.6278	0.9481	0.9053	0.8010	0.8377	0.7436	0.9041	0.7850	0.7164
SRR598671	0.5978	0.7429	0.9686	0.7677	0.7643	0.6897	0.8124	0.5948	0.7752	0.6285	0.7481	1.0000	0.7546	0.7292	0.7048	0.8063	0.6268	0.7627	0.6765	0.7434	0.7327	0.6982	0.8053	0.7139	0.7655	0.7069	0.7518	0.7556	0.9643	0.6955	0.7525	0.7298	0.6868	0.7932	0.7060	0.7878	0.7693	0.7891	0.7695	0.5898	0.7687	0.7887	0.7534	0.7315	0.6872	0.7887	0.7140	0.7024
SRR598509	0.6903	0.8290	0.7144	0.8749	0.9120	0.7966	0.7550	0.5641	0.8458	0.7003	0.8578	0.7546	1.0000	0.8505	0.7648	0.7581	0.7106	0.8393	0.7233	0.8742	0.8397	0.7705	0.8353	0.7653	0.7995	0.6971	0.8279	0.8403	0.7791	0.7417	0.9084	0.8470	0.7727	0.8476	0.7528	0.7340	0.8726	0.8502	0.8624	0.6521	0.8461	0.8589	0.8500	0.8203	0.7775	0.8650	0.7587	0.6822
SRR600784	0.7310	0.8672	0.6916	0.8623	0.8202	0.7070	0.7657	0.5500	0.8754	0.7815	0.8901	0.7292	0.8505	1.0000	0.7672	0.7785	0.7405	0.8596	0.7555	0.7572	0.9377	0.6867	0.8598	0.7599	0.8032	0.6947	0.8427	0.8752	0.7336	0.7702	0.7975	0.9260	0.7161	0.8698	0.7536	0.7366	0.8749	0.8769	0.8701	0.6938	0.8720	0.8771	0.7730	0.9048	0.7057	0.8795	0.7655	0.6810
SRR813208	0.6310	0.7348	0.6839	0.8071	0.7619	0.6834	0.8139	0.6022	0.8301	0.6519	0.7954	0.7048	0.7648	0.7672	1.0000	0.8112	0.6387	0.7557	0.7414	0.7305	0.7764	0.6700	0.7744	0.9309	0.8341	0.7202	0.8340	0.7884	0.7263	0.7678	0.7775	0.8188	0.6862	0.8049	0.9517	0.8008	0.8264	0.8207	0.8400	0.5832	0.7618	0.7765	0.7063	0.7801	0.6630	0.7964	0.9278	0.7081
SRR821573	0.6193	0.7752	0.7878	0.8114	0.7745	0.7016	0.9591	0.6622	0.8411	0.6471	0.8164	0.8063	0.7581	0.7785	0.8112	1.0000	0.6320	0.7862	0.7195	0.7459	0.7779	0.6930	0.8056	0.7817	0.8306	0.7699	0.8426	0.8076	0.8099	0.7513	0.7729	0.7998	0.7022	0.8257	0.8018	0.9626	0.8341	0.8502	0.8367	0.5908	0.7962	0.8079	0.7427	0.7783	0.6858	0.8171	0.7863	0.7646
SRR810945	0.9342	0.6341	0.5915	0.6748	0.6752	0.6030	0.6496	0.5002	0.6830	0.9361	0.6801	0.6268	0.7106	0.7405	0.6387	0.6320	1.0000	0.6949	0.6698	0.6320	0.7422	0.6253	0.6578	0.6418	0.6868	0.5892	0.6533	0.6916	0.6343	0.6674	0.7031	0.7457	0.6458	0.6878	0.6472	0.6144	0.6872	0.7095	0.7148	0.9164	0.6798	0.6920	0.6324	0.7837	0.6135	0.6945	0.6547	0.5837
SRR811819	0.6502	0.9387	0.7418	0.8911	0.8661	0.7762	0.7965	0.5979	0.8831	0.6948	0.9437	0.7627	0.8393	0.8596	0.7557	0.7862	0.6949	1.0000	0.7635	0.8267	0.8643	0.7713	0.8809	0.7831	0.8294	0.7408	0.8524	0.9491	0.7795	0.7673	0.8435	0.8465	0.7678	0.8833	0.7514	0.7534	0.8918	0.8809	0.8618	0.6374	0.9658	0.9228	0.8239	0.8292	0.7551	0.8964	0.7757	0.7197
SRR820689	0.6443	0.7291	0.6608	0.8029	0.7354	0.6723	0.7327	0.5721	0.7795	0.6872	0.7538	0.6765	0.7233	0.7555	0.7414	0.7195	0.6698	0.7635	1.0000	0.7138	0.7834	0.6886	0.7564	0.7614	0.8093	0.6853	0.7782	0.7617	0.6928	0.9439	0.7425	0.7696	0.6960	0.7727	0.7480	0.7096	0.7771	0.7728	0.7808	0.6293	0.7650	0.7963	0.7248	0.7947	0.6752	0.7775	0.7690	0.6783
SRR602106	0.6065	0.7922	0.7308	0.8275	0.9481	0.8811	0.7517	0.5930	0.8046	0.6219	0.8051	0.7434	0.8742	0.7572	0.7305	0.7459	0.6320	0.8267	0.7138	1.0000	0.7837	0.8672	0.8061	0.7579	0.7926	0.7136	0.8087	0.8045	0.7694	0.7137	0.9418	0.7695	0.8304	0.8001	0.7232	0.7254	0.8288	0.8053	0.8055	0.5764	0.8113	0.8321	0.9440	0.7483	0.8418	0.8091	0.7406	0.6949
SRR607166	0.7246	0.8501	0.7025	0.8596	0.8237	0.7226	0.7792	0.5615	0.8725	0.7623	0.8624	0.7327	0.8397	0.9377	0.7764	0.7779	0.7422	0.8643	0.7834	0.7837	1.0000	0.7129	0.8552	0.7927	0.8293	0.7073	0.8611	0.8513	0.7409	0.7794	0.8086	0.9155	0.7287	0.8532	0.7674	0.7408	0.8620	0.8565	0.8651	0.6870	0.8618	0.8684	0.7777	0.9301	0.7163	0.8702	0.7888	0.6872
SRR598044	0.5916	0.7330	0.6948	0.7471	0.8364	0.9469	0.6959	0.5754	0.7463	0.6164	0.7389	0.6982	0.7705	0.6867	0.6700	0.6930	0.6253	0.7713	0.6886	0.8672	0.7129	1.0000	0.7503	0.7107	0.7461	0.6731	0.7422	0.7548	0.7196	0.6951	0.8428	0.6961	0.9483	0.7531	0.6854	0.6842	0.7796	0.7489	0.7521	0.5765	0.7620	0.7902	0.8585	0.7046	0.9565	0.7609	0.7122	0.6649
SRR614287	0.6328	0.8845	0.7926	0.8793	0.8375	0.7578	0.8018	0.6105	0.8784	0.6685	0.8785	0.8053	0.8353	0.8598	0.7744	0.8056	0.6578	0.8809	0.7564	0.8061	0.8552	0.7503	1.0000	0.7924	0.8302	0.7569	0.8746	0.8790	0.8101	0.7781	0.8145	0.8478	0.7569	0.9536	0.7678	0.7753	0.8922	0.8929	0.8635	0.6125	0.8871	0.8967	0.8097	0.8289	0.7481	0.9557	0.7826	0.7382
SRR811029	0.6163	0.7556	0.7017	0.7958	0.7694	0.7042	0.7914	0.5955	0.8257	0.6478	0.7852	0.7139	0.7653	0.7599	0.9309	0.7817	0.6418	0.7831	0.7614	0.7579	0.7927	0.7107	0.7924	1.0000	0.8308	0.7186	0.8331	0.7823	0.7295	0.7691	0.7742	0.7838	0.7143	0.7993	0.9293	0.7704	0.8036	0.8113	0.8160	0.5821	0.7847	0.7989	0.7507	0.7848	0.6992	0.8062	0.9575	0.7044
SRR815280	0.6606	0.7954	0.7494	0.8587	0.8136	0.7369	0.8345	0.6428	0.8743	0.6845	0.8300	0.7655	0.7995	0.8032	0.8341	0.8306	0.6868	0.8294	0.8093	0.7926	0.8293	0.7461	0.8302	0.8308	1.0000	0.7658	0.8757	0.8305	0.7831	0.8172	0.8196	0.8361	0.7404	0.8415	0.8254	0.8133	0.8728	0.8580	0.8721	0.6260	0.8226	0.8438	0.7753	0.8224	0.7247	0.8418	0.8268	0.7473
SRR820839	0.5702	0.7119	0.6974	0.7487	0.7273	0.6664	0.7736	0.9379	0.7591	0.6032	0.7321	0.7069	0.6971	0.6947	0.7202	0.7699	0.5892	0.7408	0.6853	0.7136	0.7073	0.6731	0.7569	0.7186	0.7658	1.0000	0.7653	0.7397	0.7187	0.7034	0.7279	0.7196	0.6696	0.7603	0.7113	0.7515	0.7616	0.8307	0.7553	0.5485	0.7380	0.7541	0.7032	0.7179	0.6528	0.7580	0.7112	0.9654
SRR603834	0.6375	0.8499	0.7368	0.8756	0.8286	0.7489	0.8353	0.6292	0.9490	0.6565	0.8668	0.7518	0.8279	0.8427	0.8340	0.8426	0.6533	0.8524	0.7782	0.8087	0.8611	0.7422	0.8746	0.8331	0.8757	0.7653	1.0000	0.8596	0.7696	0.8004	0.8213	0.8660	0.7506	0.8747	0.8221	0.8214	0.8848	0.8764	0.9363	0.6006	0.8570	0.8675	0.7943	0.8414	0.7342	0.8761	0.8207	0.7465
SRR808836	0.6613	0.9303	0.7364	0.8947	0.8616	0.7657	0.8063	0.6018	0.8914	0.7096	0.9642	0.7556	0.8403	0.8752	0.7884	0.8076	0.6916	0.9491	0.7617	0.8045	0.8513	0.7548	0.8790	0.7823	0.8305	0.7397	0.8596	1.0000	0.7811	0.8038	0.8577	0.8895	0.7801	0.9199	0.7985	0.7980	0.9357	0.9155	0.9018	0.6467	0.9623	0.9233	0.8176	0.8477	0.7578	0.9103	0.7915	0.7302
SRR598124	0.6043	0.7484	0.9376	0.7893	0.7885	0.7115	0.8225	0.6019	0.7943	0.6304	0.7651	0.9643	0.7791	0.7336	0.7263	0.8099	0.6343	0.7795	0.6928	0.7694	0.7409	0.7196	0.8101	0.7295	0.7831	0.7187	0.7696	0.7811	1.0000	0.7168	0.7964	0.7616	0.7117	0.8164	0.7356	0.8060	0.8037	0.8108	0.8054	0.5945	0.7833	0.8036	0.7672	0.7394	0.7039	0.8044	0.7313	0.7135
SRR817306	0.6444	0.7500	0.6832	0.8144	0.7549	0.6771	0.7547	0.5919	0.8041	0.6934	0.7766	0.6955	0.7417	0.7702	0.7678	0.7513	0.6674	0.7673	0.9439	0.7137	0.7794	0.6951	0.7781	0.7691	0.8172	0.7034	0.8004	0.8038	0.7168	1.0000	0.7692	0.8099	0.7246	0.8248	0.7913	0.7617	0.8288	0.8200	0.8308	0.6278	0.7896	0.8216	0.7444	0.8215	0.6955	0.8116	0.7925	0.7084
SRR598148	0.6753	0.8009	0.7329	0.8579	0.9553	0.8546	0.7828	0.6101	0.8413	0.6961	0.8429	0.7525	0.9084	0.7975	0.7775	0.7729	0.7031	0.8435	0.7425	0.9418	0.8086	0.8428	0.8145	0.7742	0.8196	0.7279	0.8213	0.8577	0.7964	0.7692	1.0000	0.8445	0.8382	0.8575	0.7804	0.7666	0.8874	0.8601	0.8740	0.6456	0.8424	0.8597	0.9204	0.8092	0.8276	0.8538	0.7761	0.7191
SRR603750	0.7356	0.8340	0.6998	0.8745	0.8263	0.7169	0.8007	0.5811	0.8823	0.7618	0.8736	0.7298	0.8470	0.9260	0.8188	0.7998	0.7457	0.8465	0.7696	0.7695	0.9155	0.6961	0.8478	0.7838	0.8361	0.7196	0.8660	0.8895	0.7616	0.8099	0.8445	1.0000	0.7310	0.8961	0.8167	0.7933	0.9169	0.8954	0.9212	0.7018	0.8551	0.8647	0.7632	0.9137	0.7035	0.8786	0.7889	0.7065
