Pair	SRR607214	SRR615261	SRR603068	SRR821282	SRR608096	SRR612839	SRR816609	SRR821518	SRR607679	SRR809283	SRR808044	SRR598671	SRR598509	SRR600784	SRR813208	SRR821573	SRR810945	SRR811819	SRR820689	SRR602106	SRR607166	SRR598044	SRR614287	SRR811029	SRR815280	SRR820839	SRR603834	SRR808836	SRR598124	SRR817306	SRR598148	SRR603750	SRR601695	SRR615790	SRR819771	SRR807949	SRR820234	SRR810899	SRR602951	SRR815494	SRR809785	SRR814003	SRR820316	SRR821525	SRR815044	SRR812080	SRR810761	SRR818850
SRR607214	100	91.74	92.11	88.39	92.95	92.51	93.48	92.03	93.58	56.86	52.16	51.29	53.91	59.51	54.61	55.41	46.09	47.72	51.24	48.94	53.87	47.24	52.5	49.73	55.56	49.47	52.59	66.89	67.51	69.46	70.52	69.71	67.19	66.99	69.15	69.03	69.54	68.79	68.14	58.85	56.22	59.21	54.23	60.55	61.41	59.7	57.48	59.05
SRR615261	94.34	100	97.08	93.89	96.19	95.14	96.18	94.59	96.61	52.76	59.91	57.55	59.46	61.98	60	62.12	46.99	53.35	56.13	57.14	57.32	58.64	57.18	56.06	54.39	53.35	55.73	65.92	71.34	70.4	73.67	72.85	68.59	72.13	69.3	70.18	70.56	71.4	70.32	57.69	65.57	65.17	61.98	63.99	65.84	65.75	62.07	63.79
SRR603068	97.21	97.55	100	95.95	97.75	97.68	97.73	95.85	98.22	52.02	56.18	56.51	54.84	58.7	57.32	62.85	40.65	44.17	48.09	49.46	50	53.25	47.69	49.72	49.07	46.7	49.55	63.92	66.67	64.45	67.65	67.43	65.09	67.8	66.1	66.9	65.79	69.06	67.95	56.08	62.82	61.57	60.18	60.81	61.98	61.84	61.5	61.57
SRR821282	91.7	95.46	94.5	100	95.68	93.44	95.37	96.67	96.67	52.12	55.59	55.25	55.81	58.23	60.47	59.13	46.93	54.12	57.21	55.61	56.61	55.06	56.9	57.78	56.49	55.6	55.86	70.4	68.33	71.29	73.43	72.24	66.82	70.45	71.06	70.88	71.14	71.43	71.51	61.31	63.19	64.71	62.7	62.29	60.85	63.46	61.26	62.73
SRR608096	93.38	97.09	95.03	93.33	100	96.34	97.26	94.41	98.12	53	59.02	55.15	58.12	59.82	59.16	60.12	44.44	50.93	54.84	59.06	58.36	55.29	55.73	58.58	55.18	53.61	55.21	71.47	69.7	73.68	74.61	74.23	68.53	73.24	72.92	73.76	73.02	72.53	73	57.8	60.71	61.79	58.64	63.38	62.98	61.15	58.55	61.49
SRR612839	95.79	98.42	97.92	94.95	97.78	100	97.35	96.85	98.45	55.5	60.28	59.69	59.26	60.62	60.48	64.44	48.06	55.49	57.14	57.45	56.16	60.57	58.25	57.59	57.22	53.94	56.72	70	71.01	70.48	70.87	68.66	70.74	68.4	67.65	71.18	70.71	69.36	69.36	58.33	59.2	62.69	61.54	62.18	61.27	59.41	63.89	61.67
SRR816609	93.04	95.57	95.12	93.54	96.39	94.55	100	95.64	96.26	53.98	59.28	58.81	56.39	60.24	62.54	63.81	43.43	48.48	53.94	52.54	51.88	54.35	50.52	54.2	51.54	51.55	50.99	69.76	67.43	69.94	70.89	72.2	66.67	70.38	72.22	72.26	70.2	69.17	70.06	58.41	64.05	63.82	63.27	64.24	64.25	65.82	62.24	63.77
SRR821518	92.65	94	93.21	91.79	94.15	92.83	93.45	100	93.96	52.16	57.05	57.76	55.43	57.19	59.76	63.71	42.48	47.1	53.95	55.56	52.07	52.06	50	55.74	49.17	54.75	50.48	65.09	66.21	67.71	71.32	68.37	67.35	64.93	69.01	68.82	66.12	67.33	66.39	54.37	57.27	57.27	57.04	57.27	56.28	59.06	58.88	56.24
SRR607679	91.88	96.11	95.06	93.4	97.41	93.94	95.38	94.93	100	49.11	58.64	59.71	56.09	60.31	59.39	63.49	44.02	51.61	54.33	55.99	57.18	54.24	56.35	56.25	55.44	54.73	57.17	69.84	67.91	70.18	71.26	70.6	68.12	71.19	70.31	71.14	69.26	70.6	71.51	53.36	58.71	58.89	56.82	58.31	59.57	59.12	54.44	58.52
SRR809283	60.6	56.31	55.6	51.35	54.9	52.21	56	56.13	54.63	100	92.66	92.86	89.06	92.47	86.21	92.84	47.64	46.43	44.67	48.2	53.7	46.88	53.17	49.09	50.69	46.84	51.83	55.76	58.24	55.49	52.36	54.28	58.48	55.79	53.11	55.1	54.79	56.35	53.03	67.99	66.4	66.67	65.05	69.85	61.33	68.12	62.67	68.98
