Sample	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic
SRR607214	79997788	80.46	1.91	10.18	6.91	0.54
SRR615261	92073455	62.64	3.71	21.43	11.24	0.99
SRR603068	71574343	58.71	3.48	31.00	5.80	1.02
SRR821282	65521867	59.66	4.07	25.76	9.41	1.10
SRR608096	99422450	66.98	3.08	23.35	5.93	0.65
SRR612839	91091711	73.66	3.03	16.35	5.96	1.00
SRR816609	56491739	61.05	5.31	22.61	9.59	1.44
SRR821518	118871897	57.04	5.84	18.65	14.93	3.54
SRR607679	98169866	57.07	4.28	26.84	10.69	1.12
SRR809283	87610141	72.58	2.91	17.69	5.99	0.82
SRR808044	85710354	57.18	4.62	23.35	13.78	1.08
SRR598671	70589247	57.65	3.84	30.62	6.65	1.24
SRR598509	68540064	74.38	4.59	14.78	5.69	0.56
SRR600784	54075054	58.33	3.88	20.16	16.65	0.98
SRR813208	92907024	59.58	6.43	19.52	12.78	1.69
SRR821573	109610396	58.18	5.67	21.93	12.50	1.72
SRR810945	78725569	82.90	1.35	12.12	2.60	1.03
SRR811819	104929907	68.76	3.33	22.90	4.00	1.02
SRR820689	66371992	64.24	3.68	20.96	9.03	2.10
SRR602106	120781179	73.84	4.05	16.31	5.18	0.62
SRR607166	104768669	56.85	4.21	23.76	14.04	1.15
SRR598044	118019520	73.06	2.92	21.22	2.22	0.58
SRR614287	78719060	57.78	3.92	24.33	12.79	1.17
SRR811029	102857451	75.73	4.51	11.16	7.53	1.08
SRR815280	157181895	66.39	4.93	20.36	7.25	1.07
SRR820839	78828704	59.86	5.07	21.28	11.49	2.30
SRR603834	112162661	55.40	5.04	22.21	15.94	1.41
SRR808836	105771560	61.49	3.99	24.20	9.34	0.98
SRR598124	80944673	59.09	3.31	31.71	4.98	0.91
SRR817306	119119298	59.08	4.19	23.33	12.22	1.19
SRR598148	85338697	67.87	3.32	23.50	4.78	0.52
SRR603750	43842828	56.74	4.79	22.35	15.00	1.13
SRR601695	104303531	71.35	2.62	20.49	4.94	0.60
SRR615790	86802375	58.93	4.35	23.85	11.92	0.94
SRR819771	117403197	57.66	6.67	21.33	12.92	1.41
SRR807949	187210542	52.79	5.66	26.14	13.58	1.84
SRR820234	113638039	55.04	4.95	26.81	12.05	1.14
SRR810899	112215852	56.72	5.05	24.49	12.40	1.34
SRR602951	91622705	56.60	4.56	26.74	10.79	1.31
SRR815494	102754156	68.64	2.98	23.43	4.01	0.95
SRR809785	127648770	64.36	3.48	24.84	6.61	0.72
SRR814003	134503936	64.42	3.50	25.09	6.29	0.69
SRR820316	126596965	65.92	2.68	23.86	6.41	1.12
SRR821525	101956644	56.65	3.95	27.66	10.73	1.02
SRR815044	136230875	73.08	2.87	19.50	4.02	0.53
SRR812080	119520015	59.27	4.01	25.32	10.52	0.87
SRR810761	125153737	70.03	5.20	16.12	7.76	0.90
SRR818850	125400250	58.31	4.71	23.90	10.92	2.17
