Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
SRR607214	21709152	84.17	 3.30	12.53
SRR615261	38080210	81.82	 4.13	14.05
SRR603068	31709223	87.36	 5.00	 7.64
SRR821282	29301980	84.25	 4.75	11.00
SRR608096	42639474	88.65	 4.14	 7.22
SRR612839	36833539	87.46	 3.99	 8.55
SRR816609	23795085	83.42	 4.29	12.29
SRR821518	51240492	73.10	 4.44	22.46
SRR607679	41513509	82.44	 4.52	13.04
SRR809283	31545658	87.91	 3.65	 8.44
SRR808044	36408987	79.25	 4.64	16.11
SRR598671	31730971	87.45	 3.72	 8.83
SRR598509	31610419	90.60	 2.68	 6.72
SRR600784	21536903	75.34	 4.14	20.52
SRR813208	38647825	79.47	 4.18	16.35
SRR821573	46615205	79.72	 4.31	15.96
SRR810945	25026758	92.29	 2.12	 5.59
SRR811819	42333832	89.24	 4.86	 5.90
SRR820689	27285927	83.04	 4.08	12.89
SRR602106	52081155	90.41	 3.15	 6.44
SRR607166	44769759	79.02	 4.18	16.80
SRR598044	47415688	92.31	 4.29	 3.40
SRR614287	33448240	80.38	 4.17	15.45
SRR811029	36915791	85.44	 3.33	11.23
SRR815280	68870174	86.78	 4.34	 8.87
SRR820839	33745855	79.66	 4.22	16.12
SRR603834	48945352	77.24	 3.97	18.79
SRR808836	43500129	83.60	 4.92	11.48
SRR598124	36401218	90.01	 3.50	 6.49
SRR817306	49284963	81.29	 4.12	14.59
SRR598148	36580218	90.18	 4.07	 5.75
SRR603750	17537879	77.31	 4.54	18.15
SRR601695	41591412	88.88	 4.31	 6.81
SRR615790	36001541	81.31	 4.59	14.11
SRR819771	48253613	79.21	 4.63	16.16
SRR807949	81070988	78.82	 4.11	17.06
SRR820234	48169971	81.22	 4.70	14.08
SRR810899	47229339	80.55	 4.34	15.11
SRR602951	38839097	82.06	 4.56	13.38
SRR815494	40321706	90.83	 3.49	 5.68
SRR809785	52670988	87.21	 4.51	 8.28
SRR814003	55689131	87.79	 4.46	 7.75
SRR820316	54466527	87.71	 3.98	 8.31
SRR821525	44239681	84.01	 4.05	11.94
SRR815044	55479872	90.70	 4.04	 5.26
SRR812080	50584473	83.06	 4.51	12.43
SRR810761	47282622	84.98	 4.50	10.52
SRR818850	54198935	80.68	 4.20	15.13
