Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
SRR607214	39769361	54.59	23.50	21.91
SRR615261	47785162	79.69	2.21	18.10
SRR603068	53339811	59.45	2.15	38.40
SRR821282	44678159	65.58	2.62	31.80
SRR608096	58482196	72.91	2.80	24.29
SRR612839	52016412	70.81	2.37	26.82
SRR816609	38214685	62.27	2.37	35.36
SRR821518	61509101	83.31	3.85	12.84
SRR607679	80820067	51.37	2.38	46.25
SRR809283	48818685	64.62	10.77	24.61
SRR808044	44714926	81.42	2.92	15.66
SRR598671	45163430	70.26	3.12	26.62
SRR598509	44403911	71.19	4.30	24.51
SRR600784	28065576	76.74	2.30	20.96
SRR813208	53422565	72.34	4.37	23.29
SRR821573	54452379	85.61	3.52	10.87
SRR810945	41131423	60.85	18.12	21.03
SRR811819	49527122	85.48	2.81	11.71
SRR820689	33541344	81.35	3.40	15.25
SRR602106	65071994	80.04	4.76	15.20
SRR607166	58741362	76.22	2.91	20.87
SRR598044	58643842	80.85	3.36	15.79
SRR614287	47388876	70.58	2.40	27.02
SRR811029	51304957	71.95	7.01	21.04
SRR815280	85593813	80.46	4.55	14.99
SRR820839	51113138	66.02	2.89	31.09
SRR603834	61642193	79.40	3.49	17.11
SRR808836	53974446	80.59	3.31	16.10
SRR598124	55608656	65.46	3.10	31.44
SRR817306	62209065	79.22	3.90	16.88
SRR598148	53693956	68.13	3.35	28.52
SRR603750	25962857	67.55	3.24	29.21
SRR601695	96240522	43.22	1.77	55.01
SRR615790	61182017	58.84	2.45	38.71
SRR819771	60265701	80.07	4.82	15.11
SRR807949	95246707	85.12	3.44	11.44
SRR820234	60423220	79.72	3.97	16.31
SRR810899	57950635	81.50	3.71	14.79
SRR602951	100317976	38.72	2.10	59.18
SRR815494	61808169	65.24	4.90	29.86
SRR809785	60730604	86.73	2.59	10.68
SRR814003	64985455	85.69	3.07	11.24
SRR820316	66455677	81.96	2.79	15.25
SRR821525	56250586	78.65	2.75	18.60
SRR815044	65449073	84.77	2.96	12.27
SRR812080	58246823	86.85	3.10	10.05
SRR810761	64065959	73.80	5.49	20.71
SRR818850	64388347	84.18	3.52	12.30
